"Chronic Absenteeism, 2018-19"
"All Districts, English Learner Status"

"",,,"Chronically Absent",
"District","District Code","English Learner Status","Student Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELL",6,4.2
"Achievement First Bridgeport Academy District","=""2850013""","Non-ELL",55,6.0
"Achievement First Hartford Academy District","=""2880013""","ELL",8,16.0
"Achievement First Hartford Academy District","=""2880013""","Non-ELL",62,6.1
"Amistad Academy District","=""2790013""","ELL",6,5.0
"Amistad Academy District","=""2790013""","Non-ELL",68,7.4
"Andover School District","=""0010011""","ELL",0,"*"
"Andover School District","=""0010011""","Non-ELL","*","*"
"Ansonia School District","=""0020011""","ELL",12,10.1
"Ansonia School District","=""0020011""","Non-ELL",307,14.7
"Area Cooperative Educational Services","=""2440014""","ELL",23,23.2
"Area Cooperative Educational Services","=""2440014""","Non-ELL",415,23.5
"Ashford School District","=""0030011""","ELL",0,"*"
"Ashford School District","=""0030011""","Non-ELL",20,"*"
"Avon School District","=""0040011""","ELL","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*"
"Barkhamsted School District","=""0050011""","ELL",0,"*"
"Barkhamsted School District","=""0050011""","Non-ELL","*","*"
"Berlin School District","=""0070011""","ELL","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*"
"Bethany School District","=""0080011""","ELL",0,"*"
"Bethany School District","=""0080011""","Non-ELL",19,"*"
"Bethel School District","=""0090011""","ELL",13,6.6
"Bethel School District","=""0090011""","Non-ELL",110,3.9
"Bloomfield School District","=""0110011""","ELL",7,9.7
"Bloomfield School District","=""0110011""","Non-ELL",143,8.0
"Bolton School District","=""0120011""","ELL",0,"*"
"Bolton School District","=""0120011""","Non-ELL",39,"*"
"Booker T. Washington Academy District","=""2950013""","ELL","*","*"
"Booker T. Washington Academy District","=""2950013""","Non-ELL","*","*"
"Bozrah School District","=""0130011""","ELL","*","*"
"Bozrah School District","=""0130011""","Non-ELL","*","*"
"Branford School District","=""0140011""","ELL",13,10.5
"Branford School District","=""0140011""","Non-ELL",175,6.8
"Brass City Charter School District","=""2900013""","ELL","*","*"
"Brass City Charter School District","=""2900013""","Non-ELL","*","*"
"Bridgeport School District","=""0150011""","ELL",680,17.5
"Bridgeport School District","=""0150011""","Non-ELL",3009,19.2
"Bristol School District","=""0170011""","ELL",46,11.5
"Bristol School District","=""0170011""","Non-ELL",697,9.5
"Brookfield School District","=""0180011""","ELL",9,7.2
"Brookfield School District","=""0180011""","Non-ELL",113,4.6
"Brooklyn School District","=""0190011""","ELL","*","*"
"Brooklyn School District","=""0190011""","Non-ELL","*","*"
"Canaan School District","=""0210011""","ELL",0,"*"
"Canaan School District","=""0210011""","Non-ELL",8,"*"
"Canterbury School District","=""0220011""","Non-ELL",28,6.5
"Canton School District","=""0230011""","ELL","*","*"
