"Chronic Absenteeism, 2019-20"
"All Districts, English Learner Status"

"",,,"Chronically Absent",
"District","District Code","English Learner Status","Student Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELL",8,5.5
"Achievement First Bridgeport Academy District","=""2850013""","Non-ELL",71,7.6
"Achievement First Hartford Academy District","=""2880013""","ELL",8,12.1
"Achievement First Hartford Academy District","=""2880013""","Non-ELL",88,8.2
"Amistad Academy District","=""2790013""","ELL","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*"
"Andover School District","=""0010011""","ELL","*","*"
"Andover School District","=""0010011""","Non-ELL","*","*"
"Ansonia School District","=""0020011""","ELL",16,12.4
"Ansonia School District","=""0020011""","Non-ELL",326,15.9
"Area Cooperative Educational Services","=""2440014""","ELL",28,22.8
"Area Cooperative Educational Services","=""2440014""","Non-ELL",377,22.3
"Ashford School District","=""0030011""","ELL","*","*"
"Ashford School District","=""0030011""","Non-ELL","*","*"
"Avon School District","=""0040011""","ELL",17,16.3
"Avon School District","=""0040011""","Non-ELL",229,7.5
"Barkhamsted School District","=""0050011""","Non-ELL",13,6.5
"Berlin School District","=""0070011""","ELL",20,20.8
"Berlin School District","=""0070011""","Non-ELL",208,8.0
"Bethany School District","=""0080011""","ELL","*","*"
"Bethany School District","=""0080011""","Non-ELL","*","*"
"Bethel School District","=""0090011""","ELL",17,7.7
"Bethel School District","=""0090011""","Non-ELL",170,5.9
"Bloomfield School District","=""0110011""","ELL",13,16.7
"Bloomfield School District","=""0110011""","Non-ELL",195,10.7
"Bolton School District","=""0120011""","ELL","*","*"
"Bolton School District","=""0120011""","Non-ELL","*","*"
"Booker T. Washington Academy District","=""2950013""","ELL",6,23.1
"Booker T. Washington Academy District","=""2950013""","Non-ELL",64,16.9
"Bozrah School District","=""0130011""","ELL","*","*"
"Bozrah School District","=""0130011""","Non-ELL","*","*"
"Branford School District","=""0140011""","ELL",14,9.3
"Branford School District","=""0140011""","Non-ELL",170,6.7
"Brass City Charter School District","=""2900013""","ELL","*","*"
"Brass City Charter School District","=""2900013""","Non-ELL","*","*"
"Bridgeport School District","=""0150011""","ELL",735,17.3
"Bridgeport School District","=""0150011""","Non-ELL",3093,20.4
"Bristol School District","=""0170011""","ELL",76,17.3
"Bristol School District","=""0170011""","Non-ELL",957,13.2
"Brookfield School District","=""0180011""","ELL",0,0.0
"Brookfield School District","=""0180011""","Non-ELL",13,0.5
"Brooklyn School District","=""0190011""","ELL","*","*"
"Brooklyn School District","=""0190011""","Non-ELL","*","*"
"Canaan School District","=""0210011""","ELL","*","*"
"Canaan School District","=""0210011""","Non-ELL","*","*"
"Canterbury School District","=""0220011""","ELL",0,"*"
"Canterbury School District","=""0220011""","Non-ELL",20,"*"
