"District","FIPS","Year","English Learner Status","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2011-2012","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2011-2012","Non-English Language Learner","Chronically Absent Students","Percent","1.3"
"Achievement First Bridgeport Academy District","","2012-2013","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Non-English Language Learner","Chronically Absent Students","Percent","2.7"
"Achievement First Bridgeport Academy District","","2013-2014","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2013-2014","Non-English Language Learner","Chronically Absent Students","Percent","3.0"
"Achievement First Bridgeport Academy District","","2014-2015","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Non-English Language Learner","Chronically Absent Students","Percent","3.0"
"Achievement First Bridgeport Academy District","","2015-2016","English Language Learner","Chronically Absent Students","Percent","5.7"
"Achievement First Bridgeport Academy District","","2015-2016","Non-English Language Learner","Chronically Absent Students","Percent","4.5"
"Achievement First Hartford Academy District","","2011-2012","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2011-2012","Non-English Language Learner","Chronically Absent Students","Percent","8.1"
"Achievement First Hartford Academy District","","2012-2013","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2012-2013","Non-English Language Learner","Chronically Absent Students","Percent","3.2"
"Achievement First Hartford Academy District","","2013-2014","English Language Learner","Chronically Absent Students","Percent","-9999"
"Achievement First Hartford Academy District","","2013-2014","Non-English Language Learner","Chronically Absent Students","Percent","5.8"
"Achievement First Hartford Academy District","","2014-2015","English Language Learner","Chronically Absent Students","Percent","24.4"
"Achievement First Hartford Academy District","","2014-2015","Non-English Language Learner","Chronically Absent Students","Percent","9.9"
"Achievement First Hartford Academy District","","2015-2016","English Language Learner","Chronically Absent Students","Percent","14.0"
"Achievement First Hartford Academy District","","2015-2016","Non-English Language Learner","Chronically Absent Students","Percent","9.9"
"Amistad Academy District","","2011-2012","English Language Learner","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2011-2012","Non-English Language Learner","Chronically Absent Students","Percent","2.9"
"Amistad Academy District","","2012-2013","English Language Learner","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2012-2013","Non-English Language Learner","Chronically Absent Students","Percent","2.6"
"Amistad Academy District","","2013-2014","English Language Learner","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2013-2014","Non-English Language Learner","Chronically Absent Students","Percent","3.7"
"Amistad Academy District","","2014-2015","English Language Learner","Chronically Absent Students","Percent","10.3"
"Amistad Academy District","","2014-2015","Non-English Language Learner","Chronically Absent Students","Percent","4.7"
"Amistad Academy District","","2015-2016","English Language Learner","Chronically Absent Students","Percent","-9999"
"Amistad Academy District","","2015-2016","Non-English Language Learner","Chronically Absent Students","Percent","5.4"
"Andover School District","","2011-2012","English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2011-2012","Non-English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","Non-English Language Learner","Chronically Absent Students","Percent","3.9"
"Andover School District","","2013-2014","English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2013-2014","Non-English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Non-English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","English Language Learner","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Non-English Language Learner","Chronically Absent Students","Percent","-9999"
"Ansonia School District","900901220","2011-2012","English Language Learner","Chronically Absent Students","Percent","15.2"
"Ansonia School District","900901220","2011-2012","Non-English Language Learner","Chronically Absent Students","Percent","12.1"
